Astronomical Data
Julian Date 2458131.016898
Sidereal Time 20:35:08
Eo 23.43496
SA 0.00000
dE -0.00197
dF -0.00312
Universal Date 12.01.2018
Universal Time 12:24:20
dT 69.02
            	Long          	Lat       	R.A.          	Dist          	A.Spd    	M.Spd   	Spd %   	A.Diam  	Inc       	Ecc       	A          	O         	P         	L         	B         	RRadius-vector Sun-Planet 	e         	
Earth       	              	          	              	              	         	        	        	        	  0.00000 	0.01669872	1.00000000 	  2.37328 	103.23046 	112.24327 	 -0.00021 	0.98353658                	          	
Sun         	     292.24327	  0.00021 	19.6016339    	   0.983536582	  1.01905	 0.98563	103.4   	32.52206	          	          	           	          	          	          	          	                          	103.69959 	
Moon        	     242.66082	  5.00050 	16.1075120    	 403689km     	 11.95694	13.17644	 90.7   	29.84987	  5.15000 	0.05490049	0.00256957 	136.53898 	 97.30742 	112.36285 	  0.01352 	0.98179781                	152.48760 	
Mercury     	     271.75037	  0.34890 	18.1268401    	   1.200936018	  1.35637	 1.21724	111.4   	 0.08993	  7.00369 	0.20563525	0.38709905 	 48.55810 	 77.73396 	220.84805 	  0.94247 	0.44364515                	123.51194 	
Venus       	     293.01350	 -0.87416 	19.6666131    	   1.711077290	  1.25790	 1.04045	120.9   	 0.16653	  3.39457 	0.00676433	0.72333216 	 76.87954 	131.77631 	294.06950 	 -2.05553 	0.72801908                	102.73010 	
Mars        	     231.33463	  0.81875 	15.2755058    	   1.852843709	  0.62076	 0.56620	109.6   	 0.08558	  1.84933 	0.09343379	1.52364929 	 49.77622 	336.36780 	199.32008 	  0.93562 	1.62131398                	159.92043 	
Jupiter     	     228.76548	  1.06978 	15.1077286    	   5.797759016	  0.14844	 0.13300	111.6   	 0.56282	  1.30509 	0.04836944	5.20347253 	100.86590 	 15.04470 	219.43999 	  1.14220 	5.43048195                	161.89482 	
Saturn      	     272.72153	  0.88790 	18.1964004    	  10.986430861	  0.11367	 0.06937	163.9   	 0.25100	  2.48477 	0.05408431	9.53652662 	113.88413 	 92.58311 	270.85557 	  0.96921 	10.06492432               	122.73926 	
Uranus      	      24.61269	 -0.56324 	 1.5337907    	  19.836608431	  0.00860	 0.03360	 25.6   	 0.05908	  0.76976 	0.04713318	19.19153805	 74.39445 	171.27877 	 27.44289 	 -0.56135 	19.90144139               	 18.10946 	
Neptune     	     342.18475	 -0.90941 	22.9281332    	  30.568048850	  0.02691	 0.02125	126.6   	 0.04135	  1.76899 	0.00859040	30.06873773	131.96290 	 45.17784 	343.62916 	 -0.92828 	29.94459178               	 55.23440 	
Pluto       	     289.17087	  0.43456 	19.3791328    	  34.464975258	  0.03409	 0.01589	214.5   	 0.00393	 17.14230 	0.24881932	39.48154809	110.55038 	224.30892 	289.08651 	  0.44729 	33.48292659               	106.78034 	
Node(R)     	     135.16396	  0.00000 	 9.1751038    	              	 -0.06173	 0.05922	-104.2  	        	          	          	           	          	          	          	          	                          	 98.48769 	
S.Node(R)   	     315.16396	 -0.00000 	21.1751038    	              	 -0.06173	 0.05922	-104.2  	        	          	          	           	          	          	          	          	                          	 81.51231 	
Lilith      	     277.16863	  3.25162 	18.5079136    	              	  0.11128	 0.11140	 99.9   	        	          	          	           	          	          	          	          	                          	119.09637 	
